RegionID,RegionName,State,month_date_yyyymm,zori,zori_mm,zori_yy,Metro
66,Ada County,ID,201501,903.77,,,"Boise City, ID"
66,Ada County,ID,201502,907.46,0.0041,,"Boise City, ID"
66,Ada County,ID,201503,914.24,0.0075,,"Boise City, ID"
66,Ada County,ID,201504,921.15,0.0076,,"Boise City, ID"
66,Ada County,ID,201505,936.01,0.0161,,"Boise City, ID"
66,Ada County,ID,201506,942.92,0.0074,,"Boise City, ID"
66,Ada County,ID,201507,951.87,0.0095,,"Boise City, ID"
66,Ada County,ID,201508,951.2,-0.0007,,"Boise City, ID"
66,Ada County,ID,201509,952.9,0.0018,,"Boise City, ID"
66,Ada County,ID,201510,947.78,-0.0054,,"Boise City, ID"
66,Ada County,ID,201511,946.01,-0.0019,,"Boise City, ID"
66,Ada County,ID,201512,946.38,0.0004,,"Boise City, ID"
66,Ada County,ID,201601,951.48,0.0054,0.0528,"Boise City, ID"
66,Ada County,ID,201602,961.2,0.0102,0.0592,"Boise City, ID"
66,Ada County,ID,201603,969.57,0.0087,0.0605,"Boise City, ID"
66,Ada County,ID,201604,982.64,0.0135,0.0667,"Boise City, ID"
66,Ada County,ID,201605,987.83,0.0053,0.0554,"Boise City, ID"
66,Ada County,ID,201606,999.48,0.0118,0.06,"Boise City, ID"
66,Ada County,ID,201607,1006.22,0.0067,0.0571,"Boise City, ID"
66,Ada County,ID,201608,1016.41,0.0101,0.0686,"Boise City, ID"
66,Ada County,ID,201609,1017.99,0.0016,0.0683,"Boise City, ID"
66,Ada County,ID,201610,1018.5,0.0005,0.0746,"Boise City, ID"
66,Ada County,ID,201611,1009.11,-0.0092,0.0667,"Boise City, ID"
66,Ada County,ID,201612,1006.11,-0.003,0.0631,"Boise City, ID"
66,Ada County,ID,201701,1008.11,0.002,0.0595,"Boise City, ID"
66,Ada County,ID,201702,1020.21,0.012,0.0614,"Boise City, ID"
66,Ada County,ID,201703,1038.43,0.0179,0.071,"Boise City, ID"
66,Ada County,ID,201704,1053.19,0.0142,0.0718,"Boise City, ID"
66,Ada County,ID,201705,1068.06,0.0141,0.0812,"Boise City, ID"
66,Ada County,ID,201706,1075.54,0.007,0.0761,"Boise City, ID"
66,Ada County,ID,201707,1084.98,0.0088,0.0783,"Boise City, ID"
66,Ada County,ID,201708,1092.73,0.0071,0.0751,"Boise City, ID"
66,Ada County,ID,201709,1094.72,0.0018,0.0754,"Boise City, ID"
66,Ada County,ID,201710,1091.49,-0.0029,0.0717,"Boise City, ID"
66,Ada County,ID,201711,1087.44,-0.0037,0.0776,"Boise City, ID"
66,Ada County,ID,201712,1081.99,-0.005,0.0754,"Boise City, ID"
66,Ada County,ID,201801,1090.67,0.008,0.0819,"Boise City, ID"
66,Ada County,ID,201802,1102.66,0.011,0.0808,"Boise City, ID"
66,Ada County,ID,201803,1119.34,0.0151,0.0779,"Boise City, ID"
66,Ada County,ID,201804,1129.24,0.0088,0.0722,"Boise City, ID"
66,Ada County,ID,201805,1141.42,0.0108,0.0687,"Boise City, ID"
66,Ada County,ID,201806,1160.8,0.017,0.0793,"Boise City, ID"
66,Ada County,ID,201807,1175.7,0.0128,0.0836,"Boise City, ID"
66,Ada County,ID,201808,1184.26,0.0073,0.0838,"Boise City, ID"
66,Ada County,ID,201809,1185.99,0.0015,0.0834,"Boise City, ID"
66,Ada County,ID,201810,1180.76,-0.0044,0.0818,"Boise City, ID"
66,Ada County,ID,201811,1180.0,-0.0006,0.0851,"Boise City, ID"
66,Ada County,ID,201812,1175.67,-0.0037,0.0866,"Boise City, ID"
66,Ada County,ID,201901,1181.12,0.0046,0.0829,"Boise City, ID"
66,Ada County,ID,201902,1189.68,0.0072,0.0789,"Boise City, ID"
66,Ada County,ID,201903,1209.8,0.0169,0.0808,"Boise City, ID"
66,Ada County,ID,201904,1225.13,0.0127,0.0849,"Boise City, ID"
66,Ada County,ID,201905,1241.23,0.0131,0.0874,"Boise City, ID"
66,Ada County,ID,201906,1252.77,0.0093,0.0792,"Boise City, ID"
66,Ada County,ID,201907,1260.82,0.0064,0.0724,"Boise City, ID"
66,Ada County,ID,201908,1263.34,0.002,0.0668,"Boise City, ID"
66,Ada County,ID,201909,1261.42,-0.0015,0.0636,"Boise City, ID"
66,Ada County,ID,201910,1262.62,0.0009,0.0693,"Boise City, ID"
66,Ada County,ID,201911,1257.12,-0.0044,0.0654,"Boise City, ID"
66,Ada County,ID,201912,1257.05,-0.0001,0.0692,"Boise City, ID"
66,Ada County,ID,202001,1261.31,0.0034,0.0679,"Boise City, ID"
66,Ada County,ID,202002,1270.79,0.0075,0.0682,"Boise City, ID"
66,Ada County,ID,202003,1286.4,0.0123,0.0633,"Boise City, ID"
66,Ada County,ID,202004,1287.53,0.0009,0.0509,"Boise City, ID"
66,Ada County,ID,202005,1295.71,0.0064,0.0439,"Boise City, ID"
66,Ada County,ID,202006,1299.4,0.0029,0.0372,"Boise City, ID"
66,Ada County,ID,202007,1319.63,0.0156,0.0466,"Boise City, ID"
66,Ada County,ID,202008,1337.71,0.0137,0.0589,"Boise City, ID"
66,Ada County,ID,202009,1351.26,0.0101,0.0712,"Boise City, ID"
66,Ada County,ID,202010,1369.88,0.0138,0.085,"Boise City, ID"
66,Ada County,ID,202011,1382.45,0.0092,0.0997,"Boise City, ID"
66,Ada County,ID,202012,1405.75,0.0169,0.1183,"Boise City, ID"
66,Ada County,ID,202101,1419.56,0.0098,0.1255,"Boise City, ID"
66,Ada County,ID,202102,1445.31,0.0181,0.1373,"Boise City, ID"
66,Ada County,ID,202103,1482.39,0.0257,0.1524,"Boise City, ID"
66,Ada County,ID,202104,1530.05,0.0322,0.1884,"Boise City, ID"
66,Ada County,ID,202105,1581.45,0.0336,0.2205,"Boise City, ID"
66,Ada County,ID,202106,1628.04,0.0295,0.2529,"Boise City, ID"
66,Ada County,ID,202107,1660.36,0.0199,0.2582,"Boise City, ID"
66,Ada County,ID,202108,1677.33,0.0102,0.2539,"Boise City, ID"
66,Ada County,ID,202109,1672.46,-0.0029,0.2377,"Boise City, ID"
