RegionID,RegionName,State,month_date_yyyymm,zori,zori_mm,zori_yy,Metro
204,Kern County,CA,201501,961.64,,,"Bakersfield, CA"
204,Kern County,CA,201502,964.57,0.003,,"Bakersfield, CA"
204,Kern County,CA,201503,975.07,0.0109,,"Bakersfield, CA"
204,Kern County,CA,201504,979.94,0.005,,"Bakersfield, CA"
204,Kern County,CA,201505,985.53,0.0057,,"Bakersfield, CA"
204,Kern County,CA,201506,981.68,-0.0039,,"Bakersfield, CA"
204,Kern County,CA,201507,984.61,0.003,,"Bakersfield, CA"
204,Kern County,CA,201508,980.94,-0.0037,,"Bakersfield, CA"
204,Kern County,CA,201509,981.22,0.0003,,"Bakersfield, CA"
204,Kern County,CA,201510,980.97,-0.0003,,"Bakersfield, CA"
204,Kern County,CA,201511,983.38,0.0025,,"Bakersfield, CA"
204,Kern County,CA,201512,982.11,-0.0013,,"Bakersfield, CA"
204,Kern County,CA,201601,984.43,0.0024,0.0237,"Bakersfield, CA"
204,Kern County,CA,201602,985.09,0.0007,0.0213,"Bakersfield, CA"
204,Kern County,CA,201603,992.55,0.0076,0.0179,"Bakersfield, CA"
204,Kern County,CA,201604,996.86,0.0043,0.0173,"Bakersfield, CA"
204,Kern County,CA,201605,994.31,-0.0026,0.0089,"Bakersfield, CA"
204,Kern County,CA,201606,996.64,0.0023,0.0152,"Bakersfield, CA"
204,Kern County,CA,201607,1000.81,0.0042,0.0164,"Bakersfield, CA"
204,Kern County,CA,201608,1007.41,0.0066,0.027,"Bakersfield, CA"
204,Kern County,CA,201609,1006.66,-0.0007,0.0259,"Bakersfield, CA"
204,Kern County,CA,201610,1001.04,-0.0056,0.0205,"Bakersfield, CA"
204,Kern County,CA,201611,1001.37,0.0003,0.0183,"Bakersfield, CA"
204,Kern County,CA,201612,1004.91,0.0035,0.0232,"Bakersfield, CA"
204,Kern County,CA,201701,1011.44,0.0065,0.0274,"Bakersfield, CA"
204,Kern County,CA,201702,1016.36,0.0049,0.0317,"Bakersfield, CA"
204,Kern County,CA,201703,1020.63,0.0042,0.0283,"Bakersfield, CA"
204,Kern County,CA,201704,1026.78,0.006,0.03,"Bakersfield, CA"
204,Kern County,CA,201705,1032.71,0.0058,0.0386,"Bakersfield, CA"
204,Kern County,CA,201706,1034.69,0.0019,0.0382,"Bakersfield, CA"
204,Kern County,CA,201707,1037.93,0.0031,0.0371,"Bakersfield, CA"
204,Kern County,CA,201708,1038.52,0.0006,0.0309,"Bakersfield, CA"
204,Kern County,CA,201709,1044.01,0.0053,0.0371,"Bakersfield, CA"
204,Kern County,CA,201710,1040.77,-0.0031,0.0397,"Bakersfield, CA"
204,Kern County,CA,201711,1041.17,0.0004,0.0397,"Bakersfield, CA"
204,Kern County,CA,201712,1042.9,0.0017,0.0378,"Bakersfield, CA"
204,Kern County,CA,201801,1047.96,0.0049,0.0361,"Bakersfield, CA"
204,Kern County,CA,201802,1055.58,0.0073,0.0386,"Bakersfield, CA"
204,Kern County,CA,201803,1059.65,0.0039,0.0382,"Bakersfield, CA"
204,Kern County,CA,201804,1065.19,0.0052,0.0374,"Bakersfield, CA"
204,Kern County,CA,201805,1070.02,0.0045,0.0361,"Bakersfield, CA"
204,Kern County,CA,201806,1074.4,0.0041,0.0384,"Bakersfield, CA"
204,Kern County,CA,201807,1079.38,0.0046,0.0399,"Bakersfield, CA"
204,Kern County,CA,201808,1080.87,0.0014,0.0408,"Bakersfield, CA"
204,Kern County,CA,201809,1085.65,0.0044,0.0399,"Bakersfield, CA"
204,Kern County,CA,201810,1088.58,0.0027,0.0459,"Bakersfield, CA"
204,Kern County,CA,201811,1090.97,0.0022,0.0478,"Bakersfield, CA"
204,Kern County,CA,201812,1093.68,0.0025,0.0487,"Bakersfield, CA"
204,Kern County,CA,201901,1096.69,0.0028,0.0465,"Bakersfield, CA"
204,Kern County,CA,201902,1105.56,0.0081,0.0474,"Bakersfield, CA"
204,Kern County,CA,201903,1115.62,0.0091,0.0528,"Bakersfield, CA"
204,Kern County,CA,201904,1125.21,0.0086,0.0563,"Bakersfield, CA"
204,Kern County,CA,201905,1131.07,0.0052,0.0571,"Bakersfield, CA"
204,Kern County,CA,201906,1135.61,0.004,0.057,"Bakersfield, CA"
204,Kern County,CA,201907,1142.22,0.0058,0.0582,"Bakersfield, CA"
204,Kern County,CA,201908,1146.85,0.0041,0.061,"Bakersfield, CA"
204,Kern County,CA,201909,1148.5,0.0014,0.0579,"Bakersfield, CA"
204,Kern County,CA,201910,1150.22,0.0015,0.0566,"Bakersfield, CA"
204,Kern County,CA,201911,1153.96,0.0033,0.0577,"Bakersfield, CA"
204,Kern County,CA,201912,1157.36,0.0029,0.0582,"Bakersfield, CA"
204,Kern County,CA,202001,1157.42,0.0001,0.0554,"Bakersfield, CA"
204,Kern County,CA,202002,1159.85,0.0021,0.0491,"Bakersfield, CA"
204,Kern County,CA,202003,1162.98,0.0027,0.0424,"Bakersfield, CA"
204,Kern County,CA,202004,1165.63,0.0023,0.0359,"Bakersfield, CA"
204,Kern County,CA,202005,1172.41,0.0058,0.0366,"Bakersfield, CA"
204,Kern County,CA,202006,1188.7,0.0139,0.0468,"Bakersfield, CA"
204,Kern County,CA,202007,1212.9,0.0204,0.0619,"Bakersfield, CA"
204,Kern County,CA,202008,1241.76,0.0238,0.0828,"Bakersfield, CA"
204,Kern County,CA,202009,1245.84,0.0033,0.0848,"Bakersfield, CA"
204,Kern County,CA,202010,1255.73,0.0079,0.0917,"Bakersfield, CA"
204,Kern County,CA,202011,1250.07,-0.0045,0.0833,"Bakersfield, CA"
204,Kern County,CA,202012,1263.81,0.011,0.092,"Bakersfield, CA"
204,Kern County,CA,202101,1277.91,0.0112,0.1041,"Bakersfield, CA"
204,Kern County,CA,202102,1288.03,0.0079,0.1105,"Bakersfield, CA"
204,Kern County,CA,202103,1294.11,0.0047,0.1128,"Bakersfield, CA"
204,Kern County,CA,202104,1298.85,0.0037,0.1143,"Bakersfield, CA"
204,Kern County,CA,202105,1324.08,0.0194,0.1294,"Bakersfield, CA"
204,Kern County,CA,202106,1346.67,0.0171,0.1329,"Bakersfield, CA"
204,Kern County,CA,202107,1359.34,0.0094,0.1207,"Bakersfield, CA"
204,Kern County,CA,202108,1370.66,0.0083,0.1038,"Bakersfield, CA"
204,Kern County,CA,202109,1403.62,0.024,0.1266,"Bakersfield, CA"
204,Kern County,CA,202110,1427.09,0.0167,0.1365,"Bakersfield, CA"
204,Kern County,CA,202111,1453.87,0.0188,0.163,"Bakersfield, CA"
204,Kern County,CA,202112,1466.44,0.0086,0.1603,"Bakersfield, CA"
204,Kern County,CA,202201,1485.27,0.0128,0.1623,"Bakersfield, CA"
204,Kern County,CA,202202,1507.75,0.0151,0.1706,"Bakersfield, CA"
204,Kern County,CA,202203,1517.38,0.0064,0.1725,"Bakersfield, CA"
204,Kern County,CA,202204,1538.99,0.0142,0.1849,"Bakersfield, CA"
204,Kern County,CA,202205,1557.45,0.012,0.1763,"Bakersfield, CA"
204,Kern County,CA,202206,1577.55,0.0129,0.1714,"Bakersfield, CA"
204,Kern County,CA,202207,1592.3,0.0093,0.1714,"Bakersfield, CA"
204,Kern County,CA,202208,1586.83,-0.0034,0.1577,"Bakersfield, CA"
204,Kern County,CA,202209,1591.27,0.0028,0.1337,"Bakersfield, CA"
204,Kern County,CA,202210,1593.01,0.0011,0.1163,"Bakersfield, CA"
204,Kern County,CA,202211,1591.42,-0.001,0.0946,"Bakersfield, CA"
204,Kern County,CA,202212,1583.38,-0.0051,0.0797,"Bakersfield, CA"
204,Kern County,CA,202301,1576.13,-0.0046,0.0612,"Bakersfield, CA"
204,Kern County,CA,202302,1584.18,0.0051,0.0507,"Bakersfield, CA"
204,Kern County,CA,202303,1598.92,0.0093,0.0537,"Bakersfield, CA"
204,Kern County,CA,202304,1617.88,0.0119,0.0513,"Bakersfield, CA"
204,Kern County,CA,202305,1623.18,0.0033,0.0422,"Bakersfield, CA"
204,Kern County,CA,202306,1631.58,0.0052,0.0342,"Bakersfield, CA"
204,Kern County,CA,202307,1641.74,0.0062,0.0311,"Bakersfield, CA"
204,Kern County,CA,202308,1653.42,0.0071,0.042,"Bakersfield, CA"
204,Kern County,CA,202309,1657.12,0.0022,0.0414,"Bakersfield, CA"
204,Kern County,CA,202310,1658.29,0.0007,0.041,"Bakersfield, CA"
204,Kern County,CA,202311,1656.14,-0.0013,0.0407,"Bakersfield, CA"
204,Kern County,CA,202312,1657.64,0.0009,0.0469,"Bakersfield, CA"
204,Kern County,CA,202401,1655.0,-0.0016,0.05,"Bakersfield, CA"
204,Kern County,CA,202402,1665.64,0.0064,0.0514,"Bakersfield, CA"
204,Kern County,CA,202403,1671.12,0.0033,0.0452,"Bakersfield, CA"
204,Kern County,CA,202404,1685.7,0.0087,0.0419,"Bakersfield, CA"
204,Kern County,CA,202405,1691.66,0.0035,0.0422,"Bakersfield, CA"
204,Kern County,CA,202406,1705.11,0.008,0.0451,"Bakersfield, CA"
204,Kern County,CA,202407,1705.92,0.0005,0.0391,"Bakersfield, CA"
204,Kern County,CA,202408,1707.0,0.0006,0.0324,"Bakersfield, CA"
204,Kern County,CA,202409,1707.66,0.0004,0.0305,"Bakersfield, CA"
204,Kern County,CA,202410,1715.13,0.0044,0.0343,"Bakersfield, CA"
204,Kern County,CA,202411,1718.27,0.0018,0.0375,"Bakersfield, CA"
204,Kern County,CA,202412,1712.08,-0.0036,0.0328,"Bakersfield, CA"
204,Kern County,CA,202501,1716.83,0.0028,0.0374,"Bakersfield, CA"
204,Kern County,CA,202502,1726.73,0.0058,0.0367,"Bakersfield, CA"
204,Kern County,CA,202503,1740.81,0.0082,0.0417,"Bakersfield, CA"
204,Kern County,CA,202504,1741.41,0.0003,0.0331,"Bakersfield, CA"
204,Kern County,CA,202505,1747.38,0.0034,0.0329,"Bakersfield, CA"
204,Kern County,CA,202506,1759.8,0.0071,0.0321,"Bakersfield, CA"
204,Kern County,CA,202507,1766.43,0.0038,0.0355,"Bakersfield, CA"
204,Kern County,CA,202508,1765.59,-0.0005,0.0343,"Bakersfield, CA"
204,Kern County,CA,202509,1766.58,0.0006,0.0345,"Bakersfield, CA"
204,Kern County,CA,202510,1766.25,-0.0002,0.0298,"Bakersfield, CA"
204,Kern County,CA,202511,1765.77,-0.0003,0.0276,"Bakersfield, CA"
204,Kern County,CA,202512,1756.28,-0.0054,0.0258,"Bakersfield, CA"
204,Kern County,CA,202601,1755.65,-0.0004,0.0226,"Bakersfield, CA"
204,Kern County,CA,202602,1766.17,0.006,0.0228,"Bakersfield, CA"
204,Kern County,CA,202603,1778.69,0.0071,0.0218,"Bakersfield, CA"
204,Kern County,CA,202604,1786.47,0.0044,0.0259,"Bakersfield, CA"
217,Lake County,CA,202202,1302.07,,,"Clearlake, CA"
217,Lake County,CA,202203,1259.79,-0.0325,,"Clearlake, CA"
217,Lake County,CA,202205,1351.48,0.0728,,"Clearlake, CA"
217,Lake County,CA,202206,1389.54,0.0282,,"Clearlake, CA"
217,Lake County,CA,202207,1376.26,-0.0096,,"Clearlake, CA"
217,Lake County,CA,202208,1355.04,-0.0154,,"Clearlake, CA"
217,Lake County,CA,202209,1385.74,0.0227,,"Clearlake, CA"
217,Lake County,CA,202210,1422.11,0.0262,,"Clearlake, CA"
217,Lake County,CA,202211,1443.56,0.0151,,"Clearlake, CA"
217,Lake County,CA,202212,1446.07,0.0017,,"Clearlake, CA"
217,Lake County,CA,202301,1433.56,-0.0087,,"Clearlake, CA"
217,Lake County,CA,202302,1430.71,-0.002,,"Clearlake, CA"
217,Lake County,CA,202303,1418.0,-0.0089,0.089,"Clearlake, CA"
217,Lake County,CA,202304,1441.79,0.0168,0.1445,"Clearlake, CA"
217,Lake County,CA,202305,1431.72,-0.007,0.0594,"Clearlake, CA"
217,Lake County,CA,202306,1473.73,0.0293,0.0606,"Clearlake, CA"
217,Lake County,CA,202307,1470.6,-0.0021,0.0686,"Clearlake, CA"
217,Lake County,CA,202308,1490.31,0.0134,0.0998,"Clearlake, CA"
217,Lake County,CA,202309,1445.56,-0.03,0.0432,"Clearlake, CA"
217,Lake County,CA,202310,1460.76,0.0105,0.0272,"Clearlake, CA"
217,Lake County,CA,202311,1462.39,0.0011,0.013,"Clearlake, CA"
217,Lake County,CA,202312,1477.32,0.0102,0.0216,"Clearlake, CA"
217,Lake County,CA,202401,1458.33,-0.0129,0.0173,"Clearlake, CA"
217,Lake County,CA,202402,1448.93,-0.0064,0.0127,"Clearlake, CA"
217,Lake County,CA,202403,1470.07,0.0146,0.0367,"Clearlake, CA"
217,Lake County,CA,202404,1505.4,0.024,0.0441,"Clearlake, CA"
217,Lake County,CA,202405,1559.63,0.036,0.0893,"Clearlake, CA"
217,Lake County,CA,202406,1554.2,-0.0035,0.0546,"Clearlake, CA"
217,Lake County,CA,202407,1542.12,-0.0078,0.0486,"Clearlake, CA"
217,Lake County,CA,202408,1506.41,-0.0232,0.0108,"Clearlake, CA"
217,Lake County,CA,202409,1523.72,0.0115,0.0541,"Clearlake, CA"
217,Lake County,CA,202410,1540.28,0.0109,0.0544,"Clearlake, CA"
217,Lake County,CA,202411,1558.4,0.0118,0.0657,"Clearlake, CA"
217,Lake County,CA,202412,1573.94,0.01,0.0654,"Clearlake, CA"
217,Lake County,CA,202501,1557.27,-0.0106,0.0679,"Clearlake, CA"
217,Lake County,CA,202502,1551.72,-0.0036,0.0709,"Clearlake, CA"
217,Lake County,CA,202503,1542.49,-0.006,0.0493,"Clearlake, CA"
217,Lake County,CA,202504,1557.93,0.01,0.0349,"Clearlake, CA"
217,Lake County,CA,202505,1571.35,0.0086,0.0075,"Clearlake, CA"
217,Lake County,CA,202506,1577.54,0.0039,0.015,"Clearlake, CA"
217,Lake County,CA,202507,1571.22,-0.004,0.0189,"Clearlake, CA"
217,Lake County,CA,202508,1574.35,0.002,0.0451,"Clearlake, CA"
217,Lake County,CA,202509,1591.13,0.0107,0.0442,"Clearlake, CA"
217,Lake County,CA,202510,1651.12,0.0377,0.072,"Clearlake, CA"
217,Lake County,CA,202511,1657.33,0.0038,0.0635,"Clearlake, CA"
217,Lake County,CA,202512,1640.35,-0.0102,0.0422,"Clearlake, CA"
217,Lake County,CA,202601,1595.65,-0.0272,0.0246,"Clearlake, CA"
217,Lake County,CA,202602,1581.41,-0.0089,0.0191,"Clearlake, CA"
217,Lake County,CA,202603,1583.36,0.0012,0.0265,"Clearlake, CA"
217,Lake County,CA,202604,1608.16,0.0157,0.0322,"Clearlake, CA"
253,Mono County,CA,202602,3099.9,,,
253,Mono County,CA,202603,3075.2,-0.008,,
253,Mono County,CA,202604,3205.44,0.0424,,
255,Napa County,CA,201604,1924.09,,,"Napa, CA"
255,Napa County,CA,201605,1928.13,0.0021,,"Napa, CA"
255,Napa County,CA,201606,1949.82,0.0112,,"Napa, CA"
255,Napa County,CA,201607,1983.55,0.0173,,"Napa, CA"
255,Napa County,CA,201608,2015.01,0.0159,,"Napa, CA"
255,Napa County,CA,201609,2002.56,-0.0062,,"Napa, CA"
255,Napa County,CA,201610,1979.58,-0.0115,,"Napa, CA"
255,Napa County,CA,201611,1987.89,0.0042,,"Napa, CA"
255,Napa County,CA,201612,2000.11,0.0061,,"Napa, CA"
255,Napa County,CA,201701,2004.92,0.0024,,"Napa, CA"
255,Napa County,CA,201702,2005.33,0.0002,,"Napa, CA"
255,Napa County,CA,201703,2006.43,0.0005,,"Napa, CA"
255,Napa County,CA,201704,2023.78,0.0086,0.0518,"Napa, CA"
255,Napa County,CA,201705,2029.0,0.0026,0.0523,"Napa, CA"
255,Napa County,CA,201706,2050.76,0.0107,0.0518,"Napa, CA"
255,Napa County,CA,201707,2057.5,0.0033,0.0373,"Napa, CA"
255,Napa County,CA,201708,2064.49,0.0034,0.0246,"Napa, CA"
255,Napa County,CA,201709,2046.68,-0.0086,0.022,"Napa, CA"
255,Napa County,CA,201710,2068.23,0.0105,0.0448,"Napa, CA"
255,Napa County,CA,201711,2104.84,0.0177,0.0588,"Napa, CA"
255,Napa County,CA,201712,2152.63,0.0227,0.0763,"Napa, CA"
255,Napa County,CA,201801,2154.71,0.001,0.0747,"Napa, CA"
255,Napa County,CA,201802,2145.05,-0.0045,0.0697,"Napa, CA"
255,Napa County,CA,201803,2120.85,-0.0113,0.057,"Napa, CA"
255,Napa County,CA,201804,2146.95,0.0123,0.0609,"Napa, CA"
255,Napa County,CA,201805,2159.18,0.0057,0.0642,"Napa, CA"
255,Napa County,CA,201806,2189.16,0.0139,0.0675,"Napa, CA"
255,Napa County,CA,201807,2194.78,0.0026,0.0667,"Napa, CA"
255,Napa County,CA,201808,2213.85,0.0087,0.0724,"Napa, CA"
255,Napa County,CA,201809,2210.22,-0.0016,0.0799,"Napa, CA"
255,Napa County,CA,201810,2199.65,-0.0048,0.0635,"Napa, CA"
255,Napa County,CA,201811,2172.46,-0.0124,0.0321,"Napa, CA"
255,Napa County,CA,201812,2189.56,0.0079,0.0172,"Napa, CA"
255,Napa County,CA,201901,2186.66,-0.0013,0.0148,"Napa, CA"
255,Napa County,CA,201902,2223.92,0.017,0.0368,"Napa, CA"
255,Napa County,CA,201903,2223.21,-0.0003,0.0483,"Napa, CA"
255,Napa County,CA,201904,2239.49,0.0073,0.0431,"Napa, CA"
255,Napa County,CA,201905,2244.02,0.002,0.0393,"Napa, CA"
255,Napa County,CA,201906,2252.35,0.0037,0.0289,"Napa, CA"
255,Napa County,CA,201907,2270.69,0.0081,0.0346,"Napa, CA"
255,Napa County,CA,201908,2277.83,0.0031,0.0289,"Napa, CA"
255,Napa County,CA,201909,2278.09,0.0001,0.0307,"Napa, CA"
255,Napa County,CA,201910,2265.3,-0.0056,0.0298,"Napa, CA"
255,Napa County,CA,201911,2255.05,-0.0045,0.038,"Napa, CA"
255,Napa County,CA,201912,2246.2,-0.0039,0.0259,"Napa, CA"
255,Napa County,CA,202001,2260.17,0.0062,0.0336,"Napa, CA"
255,Napa County,CA,202002,2264.1,0.0017,0.0181,"Napa, CA"
255,Napa County,CA,202003,2291.64,0.0122,0.0308,"Napa, CA"
255,Napa County,CA,202004,2272.35,-0.0084,0.0147,"Napa, CA"
255,Napa County,CA,202005,2289.43,0.0075,0.0202,"Napa, CA"
255,Napa County,CA,202006,2279.97,-0.0041,0.0123,"Napa, CA"
255,Napa County,CA,202007,2307.99,0.0123,0.0164,"Napa, CA"
255,Napa County,CA,202008,2320.49,0.0054,0.0187,"Napa, CA"
255,Napa County,CA,202009,2364.99,0.0192,0.0381,"Napa, CA"
255,Napa County,CA,202010,2407.35,0.0179,0.0627,"Napa, CA"
255,Napa County,CA,202011,2423.54,0.0067,0.0747,"Napa, CA"
255,Napa County,CA,202012,2433.37,0.0041,0.0833,"Napa, CA"
255,Napa County,CA,202101,2405.5,-0.0115,0.0643,"Napa, CA"
255,Napa County,CA,202102,2392.39,-0.0055,0.0567,"Napa, CA"
255,Napa County,CA,202103,2371.59,-0.0087,0.0349,"Napa, CA"
255,Napa County,CA,202104,2365.88,-0.0024,0.0412,"Napa, CA"
255,Napa County,CA,202105,2409.36,0.0184,0.0524,"Napa, CA"
255,Napa County,CA,202106,2430.41,0.0087,0.066,"Napa, CA"
255,Napa County,CA,202107,2497.91,0.0278,0.0823,"Napa, CA"
255,Napa County,CA,202108,2538.74,0.0163,0.0941,"Napa, CA"
255,Napa County,CA,202109,2572.75,0.0134,0.0878,"Napa, CA"
255,Napa County,CA,202110,2570.06,-0.001,0.0676,"Napa, CA"
255,Napa County,CA,202111,2561.3,-0.0034,0.0568,"Napa, CA"
255,Napa County,CA,202112,2576.93,0.0061,0.059,"Napa, CA"
255,Napa County,CA,202201,2585.57,0.0034,0.0749,"Napa, CA"
255,Napa County,CA,202202,2584.74,-0.0003,0.0804,"Napa, CA"
255,Napa County,CA,202203,2601.11,0.0063,0.0968,"Napa, CA"
255,Napa County,CA,202204,2654.16,0.0204,0.1219,"Napa, CA"
255,Napa County,CA,202205,2702.06,0.018,0.1215,"Napa, CA"
255,Napa County,CA,202206,2722.73,0.0076,0.1203,"Napa, CA"
255,Napa County,CA,202207,2742.95,0.0074,0.0981,"Napa, CA"
255,Napa County,CA,202208,2733.41,-0.0035,0.0767,"Napa, CA"
255,Napa County,CA,202209,2737.89,0.0016,0.0642,"Napa, CA"
255,Napa County,CA,202210,2713.58,-0.0089,0.0558,"Napa, CA"
255,Napa County,CA,202211,2703.33,-0.0038,0.0555,"Napa, CA"
255,Napa County,CA,202212,2704.56,0.0005,0.0495,"Napa, CA"
255,Napa County,CA,202301,2701.62,-0.0011,0.0449,"Napa, CA"
255,Napa County,CA,202302,2722.22,0.0076,0.0532,"Napa, CA"
255,Napa County,CA,202303,2738.05,0.0058,0.0526,"Napa, CA"
255,Napa County,CA,202304,2774.43,0.0133,0.0453,"Napa, CA"
255,Napa County,CA,202305,2773.21,-0.0004,0.0263,"Napa, CA"
255,Napa County,CA,202306,2769.14,-0.0015,0.017,"Napa, CA"
255,Napa County,CA,202307,2739.6,-0.0107,-0.0012,"Napa, CA"
255,Napa County,CA,202308,2747.5,0.0029,0.0052,"Napa, CA"
255,Napa County,CA,202309,2756.84,0.0034,0.0069,"Napa, CA"
255,Napa County,CA,202310,2775.77,0.0069,0.0229,"Napa, CA"
255,Napa County,CA,202311,2751.09,-0.0089,0.0177,"Napa, CA"
255,Napa County,CA,202312,2740.7,-0.0038,0.0134,"Napa, CA"
255,Napa County,CA,202401,2741.61,0.0003,0.0148,"Napa, CA"
255,Napa County,CA,202402,2772.39,0.0112,0.0184,"Napa, CA"
255,Napa County,CA,202403,2784.57,0.0044,0.017,"Napa, CA"
255,Napa County,CA,202404,2778.95,-0.002,0.0016,"Napa, CA"
255,Napa County,CA,202405,2792.33,0.0048,0.0069,"Napa, CA"
255,Napa County,CA,202406,2809.05,0.006,0.0144,"Napa, CA"
255,Napa County,CA,202407,2825.78,0.006,0.0315,"Napa, CA"
255,Napa County,CA,202408,2837.16,0.004,0.0326,"Napa, CA"
255,Napa County,CA,202409,2819.95,-0.0061,0.0229,"Napa, CA"
255,Napa County,CA,202410,2820.07,0.0,0.016,"Napa, CA"
255,Napa County,CA,202411,2803.1,-0.006,0.0189,"Napa, CA"
255,Napa County,CA,202412,2803.27,0.0001,0.0228,"Napa, CA"
255,Napa County,CA,202501,2800.96,-0.0008,0.0216,"Napa, CA"
255,Napa County,CA,202502,2813.43,0.0045,0.0148,"Napa, CA"
255,Napa County,CA,202503,2829.36,0.0057,0.0161,"Napa, CA"
255,Napa County,CA,202504,2816.79,-0.0044,0.0136,"Napa, CA"
255,Napa County,CA,202505,2811.79,-0.0018,0.007,"Napa, CA"
255,Napa County,CA,202506,2833.83,0.0078,0.0088,"Napa, CA"
255,Napa County,CA,202507,2844.08,0.0036,0.0065,"Napa, CA"
255,Napa County,CA,202508,2852.14,0.0028,0.0053,"Napa, CA"
255,Napa County,CA,202509,2827.39,-0.0087,0.0026,"Napa, CA"
255,Napa County,CA,202510,2828.3,0.0003,0.0029,"Napa, CA"
255,Napa County,CA,202511,2812.16,-0.0057,0.0032,"Napa, CA"
255,Napa County,CA,202512,2797.68,-0.0051,-0.002,"Napa, CA"
255,Napa County,CA,202601,2776.54,-0.0076,-0.0087,"Napa, CA"
255,Napa County,CA,202602,2767.28,-0.0033,-0.0164,"Napa, CA"
255,Napa County,CA,202603,2786.38,0.0069,-0.0152,"Napa, CA"
255,Napa County,CA,202604,2820.92,0.0124,0.0015,"Napa, CA"
340,Yolo County,CA,201501,1330.83,,,"Sacramento-Roseville-Folsom, CA"
340,Yolo County,CA,201502,1327.58,-0.0024,,"Sacramento-Roseville-Folsom, CA"
340,Yolo County,CA,201503,1335.82,0.0062,,"Sacramento-Roseville-Folsom, CA"
340,Yolo County,CA,201504,1373.72,0.0284,,"Sacramento-Roseville-Folsom, CA"
340,Yolo County,CA,201505,1404.9,0.0227,,"Sacramento-Roseville-Folsom, CA"
340,Yolo County,CA,201506,1420.02,0.0108,,"Sacramento-Roseville-Folsom, CA"
340,Yolo County,CA,201507,1419.06,-0.0007,,"Sacramento-Roseville-Folsom, CA"
340,Yolo County,CA,201508,1436.01,0.0119,,"Sacramento-Roseville-Folsom, CA"
340,Yolo County,CA,201509,1442.55,0.0046,,"Sacramento-Roseville-Folsom, CA"
340,Yolo County,CA,201510,1434.13,-0.0058,,"Sacramento-Roseville-Folsom, CA"
340,Yolo County,CA,201511,1424.54,-0.0067,,"Sacramento-Roseville-Folsom, CA"
340,Yolo County,CA,201512,1441.83,0.0121,,"Sacramento-Roseville-Folsom, CA"
340,Yolo County,CA,201601,1440.29,-0.0011,0.0823,"Sacramento-Roseville-Folsom, CA"
340,Yolo County,CA,201602,1441.26,0.0007,0.0856,"Sacramento-Roseville-Folsom, CA"
340,Yolo County,CA,201603,1432.99,-0.0057,0.0727,"Sacramento-Roseville-Folsom, CA"
340,Yolo County,CA,201604,1479.2,0.0322,0.0768,"Sacramento-Roseville-Folsom, CA"
340,Yolo County,CA,201605,1518.32,0.0264,0.0807,"Sacramento-Roseville-Folsom, CA"
340,Yolo County,CA,201606,1543.54,0.0166,0.087,"Sacramento-Roseville-Folsom, CA"
340,Yolo County,CA,201607,1555.78,0.0079,0.0963,"Sacramento-Roseville-Folsom, CA"
340,Yolo County,CA,201608,1549.76,-0.0039,0.0792,"Sacramento-Roseville-Folsom, CA"
340,Yolo County,CA,201609,1530.3,-0.0126,0.0608,"Sacramento-Roseville-Folsom, CA"
340,Yolo County,CA,201610,1485.49,-0.0293,0.0358,"Sacramento-Roseville-Folsom, CA"
340,Yolo County,CA,201611,1473.06,-0.0084,0.0341,"Sacramento-Roseville-Folsom, CA"
340,Yolo County,CA,201612,1483.64,0.0072,0.029,"Sacramento-Roseville-Folsom, CA"
340,Yolo County,CA,201701,1518.17,0.0233,0.0541,"Sacramento-Roseville-Folsom, CA"
340,Yolo County,CA,201702,1553.21,0.0231,0.0777,"Sacramento-Roseville-Folsom, CA"
340,Yolo County,CA,201703,1584.7,0.0203,0.1059,"Sacramento-Roseville-Folsom, CA"
340,Yolo County,CA,201704,1623.06,0.0242,0.0973,"Sacramento-Roseville-Folsom, CA"
340,Yolo County,CA,201705,1633.77,0.0066,0.076,"Sacramento-Roseville-Folsom, CA"
340,Yolo County,CA,201706,1639.2,0.0033,0.062,"Sacramento-Roseville-Folsom, CA"
340,Yolo County,CA,201707,1632.28,-0.0042,0.0492,"Sacramento-Roseville-Folsom, CA"
340,Yolo County,CA,201708,1644.56,0.0075,0.0612,"Sacramento-Roseville-Folsom, CA"
340,Yolo County,CA,201709,1650.5,0.0036,0.0785,"Sacramento-Roseville-Folsom, CA"
340,Yolo County,CA,201710,1648.71,-0.0011,0.1099,"Sacramento-Roseville-Folsom, CA"
340,Yolo County,CA,201711,1636.03,-0.0077,0.1106,"Sacramento-Roseville-Folsom, CA"
340,Yolo County,CA,201712,1624.58,-0.007,0.095,"Sacramento-Roseville-Folsom, CA"
340,Yolo County,CA,201801,1636.62,0.0074,0.078,"Sacramento-Roseville-Folsom, CA"
340,Yolo County,CA,201802,1643.53,0.0042,0.0582,"Sacramento-Roseville-Folsom, CA"
340,Yolo County,CA,201803,1679.97,0.0222,0.0601,"Sacramento-Roseville-Folsom, CA"
340,Yolo County,CA,201804,1711.05,0.0185,0.0542,"Sacramento-Roseville-Folsom, CA"
340,Yolo County,CA,201805,1739.55,0.0167,0.0647,"Sacramento-Roseville-Folsom, CA"
340,Yolo County,CA,201806,1753.0,0.0077,0.0694,"Sacramento-Roseville-Folsom, CA"
340,Yolo County,CA,201807,1753.88,0.0005,0.0745,"Sacramento-Roseville-Folsom, CA"
340,Yolo County,CA,201808,1768.0,0.0081,0.0751,"Sacramento-Roseville-Folsom, CA"
