RegionID,RegionName,State,month_date_yyyymm,zori,zori_mm,zori_yy,Metro
199,Kent County,DE,201501,983.66,,,"Dover, DE"
199,Kent County,DE,201502,980.32,-0.0034,,"Dover, DE"
199,Kent County,DE,201503,1006.56,0.0268,,"Dover, DE"
199,Kent County,DE,201504,1015.38,0.0088,,"Dover, DE"
199,Kent County,DE,201505,1021.51,0.006,,"Dover, DE"
199,Kent County,DE,201506,1013.39,-0.0079,,"Dover, DE"
199,Kent County,DE,201507,1007.5,-0.0058,,"Dover, DE"
199,Kent County,DE,201508,1008.32,0.0008,,"Dover, DE"
199,Kent County,DE,201509,995.04,-0.0132,,"Dover, DE"
199,Kent County,DE,201510,999.49,0.0045,,"Dover, DE"
199,Kent County,DE,201511,1009.87,0.0104,,"Dover, DE"
199,Kent County,DE,201512,1018.53,0.0086,,"Dover, DE"
199,Kent County,DE,201601,1013.79,-0.0047,0.0306,"Dover, DE"
199,Kent County,DE,201602,1019.7,0.0058,0.0402,"Dover, DE"
199,Kent County,DE,201603,1028.29,0.0084,0.0216,"Dover, DE"
199,Kent County,DE,201604,1032.46,0.0041,0.0168,"Dover, DE"
199,Kent County,DE,201605,1027.47,-0.0048,0.0058,"Dover, DE"
199,Kent County,DE,201606,1037.16,0.0094,0.0235,"Dover, DE"
199,Kent County,DE,201607,1040.3,0.003,0.0325,"Dover, DE"
199,Kent County,DE,201608,1040.67,0.0004,0.0321,"Dover, DE"
199,Kent County,DE,201609,1030.59,-0.0097,0.0357,"Dover, DE"
199,Kent County,DE,201610,1031.09,0.0005,0.0316,"Dover, DE"
199,Kent County,DE,201611,1025.35,-0.0056,0.0153,"Dover, DE"
199,Kent County,DE,201612,1015.16,-0.0099,-0.0033,"Dover, DE"
199,Kent County,DE,201701,1017.61,0.0024,0.0038,"Dover, DE"
199,Kent County,DE,201702,1028.4,0.0106,0.0085,"Dover, DE"
199,Kent County,DE,201703,1046.78,0.0179,0.018,"Dover, DE"
199,Kent County,DE,201704,1053.62,0.0065,0.0205,"Dover, DE"
199,Kent County,DE,201705,1063.82,0.0097,0.0354,"Dover, DE"
199,Kent County,DE,201706,1056.8,-0.0066,0.0189,"Dover, DE"
199,Kent County,DE,201707,1062.61,0.0055,0.0215,"Dover, DE"
199,Kent County,DE,201708,1052.99,-0.0091,0.0118,"Dover, DE"
199,Kent County,DE,201709,1059.06,0.0058,0.0276,"Dover, DE"
